LLM,Arquivo,Status
Gemini,ReactAdmin_AddUser.js,PASS
Gemini,ReactAdmin_Dashboard.js,PASS
Gemini,ReactAdmin_Ecommerce.js,PASS
Gemini,ReactAdmin_Products.js,PASS
Gemini,ReactAdmin_UserList.js,PASS
Gemini,TakeNote_App.tsx,PASS
Gemini,TakeNote_AppSidebar.tsx,PASS
Gemini,TakeNote_CategoryList.tsx,PASS
Gemini,TakeNote_CategoryOption.tsx,PASS
Gemini,TakeNote_ContextMenu.tsx,PASS
Gemini,TakeNote_ContextMenuOptions.tsx,PASS
Gemini,TakeNote_FolderOption.tsx,PASS
Gemini,TakeNote_KeyboardShortcuts.tsx,PASS
Gemini,TakeNote_LandingPage.tsx,PASS
Gemini,TakeNote_NoteEditor.tsx,PASS
Gemini,TakeNote_NoteList.tsx,PASS
Gemini,TakeNote_NoteMenuBar.tsx,PASS
Gemini,TakeNote_PreviewEditor.tsx,PASS
Gemini,TakeNote_SettingsModal.tsx,PASS
Gemini,TakeNote_TakeNoteApp.tsx,PASS
DeepSeek,ReactAdmin_AddUser.js,PASS
DeepSeek,ReactAdmin_Dashboard.js,PASS
DeepSeek,ReactAdmin_Ecommerce.js,PASS
DeepSeek,ReactAdmin_Products.js,PASS
DeepSeek,ReactAdmin_UserList.js,PASS
DeepSeek,TakeNote_App.tsx,PASS
DeepSeek,TakeNote_AppSidebar.tsx,PASS
DeepSeek,TakeNote_CategoryList.tsx,PASS
DeepSeek,TakeNote_CategoryOption.tsx,PASS
DeepSeek,TakeNote_ContextMenu.tsx,PASS
DeepSeek,TakeNote_ContextMenuOptions.tsx,PASS
DeepSeek,TakeNote_FolderOption.tsx,PASS
DeepSeek,TakeNote_KeyboardShortcuts.tsx,PASS
DeepSeek,TakeNote_LandingPage.tsx,PASS
DeepSeek,TakeNote_NoteEditor.tsx,PASS
DeepSeek,TakeNote_NoteList.tsx,PASS
DeepSeek,TakeNote_NoteMenuBar.tsx,PASS
DeepSeek,TakeNote_PreviewEditor.tsx,PASS
DeepSeek,TakeNote_SettingsModal.tsx,PASS
DeepSeek,TakeNote_TakeNoteApp.tsx,PASS
Mistral,ReactAdmin_AddUser.js,PASS
Mistral,ReactAdmin_Dashboard.js,FAIL
Mistral,ReactAdmin_Ecommerce.js,PASS
Mistral,ReactAdmin_Products.js,PASS
Mistral,ReactAdmin_UserList.js,PASS
Mistral,TakeNote_App.tsx,PASS
Mistral,TakeNote_AppSidebar.tsx,PASS
Mistral,TakeNote_CategoryList.tsx,PASS
Mistral,TakeNote_CategoryOption.tsx,PASS
Mistral,TakeNote_ContextMenu.tsx,PASS
Mistral,TakeNote_ContextMenuOptions.tsx,PASS
Mistral,TakeNote_FolderOption.tsx,PASS
Mistral,TakeNote_KeyboardShortcuts.tsx,PASS
Mistral,TakeNote_LandingPage.tsx,PASS
Mistral,TakeNote_NoteEditor.tsx,PASS
Mistral,TakeNote_NoteList.tsx,PASS
Mistral,TakeNote_NoteMenuBar.tsx,PASS
Mistral,TakeNote_PreviewEditor.tsx,PASS
Mistral,TakeNote_SettingsModal.tsx,PASS
Mistral,TakeNote_TakeNoteApp.tsx,FAIL
