Modelo,Repositorio,Arquivo,Status_Teste,Delta_LOC,Reducao_LOC_Pct,Delta_CC,Reducao_CC_Pct,Delta_Decisoes,Reducao_Decisoes_Pct,Delta_Cognitiva,Reducao_Cognitiva_Pct,Delta_Maior_Funcao_LOC,Delta_Aninhamento_Maximo,Delta_Duplicacao_Tokens_Pct,Delta_Funcao_Longa,Delta_CC_Alta,Delta_Cognitiva_Alta,Delta_Aninhamento,Delta_Arquivo_Grande,Delta_Duplicacao,Delta_Soma_Smells
Gemini,ReactAdmin,ReactAdmin_AddUser.js,PASS,-73,12.35,5,-11.36,0,0,-7,25,-359,-1,8.620000000000001,3,-1,-1,0,0,0,1
Gemini,ReactAdmin,ReactAdmin_Dashboard.js,PASS,-136,13.72,0,0,-1,3.57,-1,2.86,-122,0,-0.5799999999999983,1,0,0,0,0,0,1
Gemini,ReactAdmin,ReactAdmin_Ecommerce.js,PASS,-56,9.86,8,-11.94,6,-21.43,6,-17.14,-67,0,-10.85,0,0,0,0,0,0,0
Gemini,ReactAdmin,ReactAdmin_Products.js,PASS,-211,37.61,12,-150,1,-20,1,-20,-310,0,-16.370000000000005,1,0,0,0,0,0,1
Gemini,ReactAdmin,ReactAdmin_UserList.js,PASS,-77,15.28,-2,3.28,-1,3.57,-1,2.94,-50,0,-4.960000000000001,0,0,0,0,0,0,0
Gemini,TakeNote,TakeNote_App.tsx,PASS,-7,13.21,1,-20,1,-50,1,-50,-16,0,-20.36,0,0,0,0,0,0,0
Gemini,TakeNote,TakeNote_AppSidebar.tsx,PASS,23,-24.21,0,0,0,0,0,0,23,0,0.5,0,0,0,0,0,0,0
Gemini,TakeNote,TakeNote_CategoryList.tsx,PASS,32,-21.92,1,-3.33,0,0,-2,13.33,32,-1,-4.090000000000003,0,0,0,0,0,0,0
Gemini,TakeNote,TakeNote_CategoryOption.tsx,PASS,10,-6.67,-7,24.14,0,0,0,0,10,0,2.4599999999999973,0,0,0,0,0,0,0
Gemini,TakeNote,TakeNote_ContextMenu.tsx,PASS,9,-7.32,-2,9.09,0,0,-1,8.33,0,-1,-10.71,0,0,0,0,0,-1,-1
Gemini,TakeNote,TakeNote_ContextMenuOptions.tsx,PASS,23,-13.37,-7,20,0,0,-3,21.43,-20,-2,-11.18,0,0,0,0,0,0,0
