Modelo,Repositorio,Arquivo,LOC,Funcoes,CC_Total,Decisoes_Total,CC_Media_Funcao,CC_Mediana_Funcao,CC_Maxima,Cognitiva_Total,Cognitiva_Media_Funcao,Cognitiva_Maxima,Maior_Funcao_LOC,Aninhamento_Maximo,Duplicacao_Tokens_Pct,Smell_Funcao_Longa,Smell_CC_Alta,Smell_Cognitiva_Alta,Smell_Aninhamento,Smell_Arquivo_Grande,Smell_Duplicacao,Code_Smells_Total,Diagnosticos_Sintaticos
Original,ReactAdmin,ReactAdmin_AddUser.js,591,19,44,25,2.32,1,18,28,1.47,23,547,3,20.36,1,1,1,0,1,1,5,0
Original,ReactAdmin,ReactAdmin_Dashboard.js,991,37,65,28,1.76,1,6,35,0.95,10,655,4,38.07,2,0,0,1,1,1,5,0
Original,ReactAdmin,ReactAdmin_Ecommerce.js,568,39,67,28,1.72,1,6,35,0.9,10,378,4,21.2,2,0,0,1,1,1,5,0
Original,ReactAdmin,ReactAdmin_Products.js,561,3,8,5,2.67,1,6,5,1.67,5,388,1,75.98,1,0,0,0,1,1,3,0
Original,ReactAdmin,ReactAdmin_UserList.js,504,33,61,28,1.85,1,8,34,1.03,10,372,4,22.6,2,0,0,1,1,1,5,0
Original,TakeNote,TakeNote_App.tsx,53,3,5,2,1.67,1,3,2,0.67,2,42,1,35.17,0,0,0,0,0,1,1,0
Original,TakeNote,TakeNote_AppSidebar.tsx,95,11,11,0,1,1,1,0,0,0,72,0,66.37,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_CategoryList.tsx,146,17,30,13,1.76,1,8,15,0.88,9,131,2,47.39,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_CategoryOption.tsx,150,22,29,7,1.32,1,4,7,0.32,3,114,1,22.78,2,0,0,0,0,1,3,0
Original,TakeNote,TakeNote_ContextMenu.tsx,123,11,22,11,2,1,5,12,1.09,4,58,2,10.71,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_ContextMenuOptions.tsx,172,24,35,11,1.46,1,10,14,0.58,12,98,3,37.78,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_FolderOption.tsx,80,8,12,4,1.5,1,3,6,0.75,3,67,2,26.82,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_KeyboardShortcuts.tsx,94,27,34,7,1.26,1,4,7,0.26,3,74,1,30.63,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_LandingPage.tsx,160,2,4,2,2,2,3,3,1.5,3,141,2,0,1,0,0,0,0,0,1,0
Original,TakeNote,TakeNote_NoteEditor.tsx,107,11,24,13,2.18,2,5,17,1.55,6,89,3,7.63,2,0,0,0,0,0,2,0
Original,TakeNote,TakeNote_NoteList.tsx,208,26,60,34,2.31,1,12,39,1.5,13,188,2,21.08,2,2,0,0,0,1,5,0
Original,TakeNote,TakeNote_NoteMenuBar.tsx,145,20,30,10,1.5,1,9,12,0.6,10,117,2,38.84,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_PreviewEditor.tsx,48,8,12,4,1.5,1,5,7,0.88,7,35,2,27.84,0,0,0,0,0,1,1,0
Original,TakeNote,TakeNote_SettingsModal.tsx,265,26,37,11,1.42,1,4,11,0.42,3,229,1,44.16,1,0,0,0,0,1,2,0
Original,TakeNote,TakeNote_TakeNoteApp.tsx,85,10,15,5,1.5,1,5,5,0.5,4,56,1,34.36,1,0,0,0,0,1,2,0
Gemini,ReactAdmin,ReactAdmin_AddUser.js,518,24,49,25,2.04,1,9,21,0.88,8,188,2,28.98,4,0,0,0,1,1,6,0
Gemini,ReactAdmin,ReactAdmin_Dashboard.js,855,38,65,27,1.71,1,6,34,0.89,10,533,4,37.49,3,0,0,1,1,1,6,0
Gemini,ReactAdmin,ReactAdmin_Ecommerce.js,512,41,75,34,1.83,1,7,41,1,10,311,4,10.35,2,0,0,1,1,1,5,0
Gemini,ReactAdmin,ReactAdmin_Products.js,350,14,20,6,1.43,1,3,6,0.43,2,78,1,59.61,2,0,0,0,1,1,4,0
Gemini,ReactAdmin,ReactAdmin_UserList.js,427,32,59,27,1.84,1,7,33,1.03,10,322,4,17.64,2,0,0,1,1,1,5,0
Gemini,TakeNote,TakeNote_App.tsx,46,3,6,3,2,1,4,3,1,3,26,1,14.81,0,0,0,0,0,1,1,0
Gemini,TakeNote,TakeNote_AppSidebar.tsx,118,11,11,0,1,1,1,0,0,0,95,0,66.87,1,0,0,0,0,1,2,0
Gemini,TakeNote,TakeNote_CategoryList.tsx,178,18,31,13,1.72,1,6,13,0.72,5,163,1,43.3,1,0,0,0,0,1,2,0
Gemini,TakeNote,TakeNote_CategoryOption.tsx,160,15,22,7,1.47,1,3,7,0.47,2,124,1,25.24,2,0,0,0,0,1,3,0
Gemini,TakeNote,TakeNote_ContextMenu.tsx,132,9,20,11,2.22,2,5,11,1.22,4,58,1,0,1,0,0,0,0,0,1,0
Gemini,TakeNote,TakeNote_ContextMenuOptions.tsx,195,17,28,11,1.65,1,7,11,0.65,6,78,1,26.6,1,0,0,0,0,1,2,0
Gemini,TakeNote,TakeNote_FolderOption.tsx,61,7,10,3,1.43,1,3,3,0.43,2,44,1,0,0,0,0,0,0,0,0,0
Gemini,TakeNote,TakeNote_KeyboardShortcuts.tsx,111,15,22,7,1.47,1,4,7,0.47,3,91,1,25.98,1,0,0,0,0,1,2,0
Gemini,TakeNote,TakeNote_LandingPage.tsx,187,6,8,2,1.33,1,3,2,0.33,2,61,1,0,1,0,0,0,0,0,1,0
Gemini,TakeNote,TakeNote_NoteEditor.tsx,118,10,22,12,2.2,2,5,12,1.2,4,82,1,18.1,1,0,0,0,0,1,2,0
Gemini,TakeNote,TakeNote_NoteList.tsx,287,29,64,35,2.21,1,10,36,1.24,10,125,2,31.56,2,0,0,0,0,1,3,0
Gemini,TakeNote,TakeNote_NoteMenuBar.tsx,171,14,24,10,1.71,1,9,12,0.86,10,142,2,27.4,1,0,0,0,0,1,2,0
Gemini,TakeNote,TakeNote_PreviewEditor.tsx,53,6,10,4,1.67,1,4,4,0.67,3,33,1,22.01,0,0,0,0,0,1,1,0
Gemini,TakeNote,TakeNote_SettingsModal.tsx,309,18,29,11,1.61,1,4,11,0.61,3,273,1,50.81,1,0,0,0,1,1,3,0
Gemini,TakeNote,TakeNote_TakeNoteApp.tsx,97,5,10,5,2,1,5,5,1,4,69,1,18.99,1,0,0,0,0,1,2,0
DeepSeek,ReactAdmin,ReactAdmin_AddUser.js,535,24,50,26,2.08,1,9,23,0.96,8,171,1,30.18,4,0,0,0,1,1,6,0
DeepSeek,ReactAdmin,ReactAdmin_Dashboard.js,990,45,73,28,1.62,1,6,35,0.78,10,198,4,44.2,7,0,0,1,1,1,10,0
DeepSeek,ReactAdmin,ReactAdmin_Ecommerce.js,569,47,74,27,1.57,1,6,30,0.64,6,300,3,17.93,3,0,0,0,1,1,5,0
DeepSeek,ReactAdmin,ReactAdmin_Products.js,477,8,14,6,1.75,1,5,6,0.75,4,260,1,57.82,1,0,0,0,1,1,3,0
DeepSeek,ReactAdmin,ReactAdmin_UserList.js,437,32,60,28,1.88,1,8,34,1.06,10,320,4,17.07,2,0,0,1,1,1,5,0
DeepSeek,TakeNote,TakeNote_App.tsx,57,4,6,2,1.5,1,3,2,0.5,2,31,1,32.8,0,0,0,0,0,1,1,0
DeepSeek,TakeNote,TakeNote_AppSidebar.tsx,101,11,11,0,1,1,1,0,0,0,78,0,54.95,1,0,0,0,0,1,2,0
